# Moment      
# CofR        : (5.000000e+00 5.000000e-03 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.20005e-05   	(-3.830470e+03 1.907463e+03 -3.784357e+05)	(-3.830472e+03 1.907419e+03 -3.784360e+05)	(2.314897e-03 4.358085e-02 2.394520e-01)
2.64017e-05   	(-9.730627e+01 7.367315e+01 -9.613092e+03)	(-9.730919e+01 7.362981e+01 -9.613392e+03)	(2.920113e-03 4.334160e-02 2.993596e-01)
4.36833e-05   	(-1.301195e+01 1.392039e+01 -1.283905e+03)	(-1.301512e+01 1.387687e+01 -1.284229e+03)	(3.169239e-03 4.352952e-02 3.240055e-01)
6.44211e-05   	(-7.216671e+00 3.990203e+00 -7.149536e+02)	(-7.219960e+00 3.946427e+00 -7.152895e+02)	(3.289044e-03 4.377628e-02 3.358619e-01)
8.93055e-05   	(-5.087970e+00 1.570549e+00 -5.056250e+02)	(-5.091338e+00 1.526462e+00 -5.059686e+02)	(3.368061e-03 4.408672e-02 3.436892e-01)
0.000119165   	(-4.668501e+00 1.167872e+00 -4.642030e+02)	(-4.671927e+00 1.123413e+00 -4.645525e+02)	(3.426376e-03 4.445904e-02 3.494792e-01)
0.00015499    	(-4.825372e+00 1.395518e+00 -4.794238e+02)	(-4.828846e+00 1.350599e+00 -4.797780e+02)	(3.473878e-03 4.491955e-02 3.542146e-01)
0.000197972   	(-5.164138e+00 1.638589e+00 -5.127170e+02)	(-5.167651e+00 1.593087e+00 -5.130751e+02)	(3.513283e-03 4.550203e-02 3.581663e-01)
0.000248149   	(-5.738449e+00 1.828927e+00 -5.694333e+02)	(-5.741989e+00 1.782735e+00 -5.697943e+02)	(3.540440e-03 4.619246e-02 3.609176e-01)
0.00030551    	(-6.989114e+00 1.970833e+00 -6.931364e+02)	(-6.992668e+00 1.923850e+00 -6.934987e+02)	(3.553555e-03 4.698237e-02 3.622891e-01)
0.000370037   	(-7.885214e+00 2.045895e+00 -7.818881e+02)	(-7.888769e+00 1.998046e+00 -7.822506e+02)	(3.555257e-03 4.784893e-02 3.625420e-01)
0.000441559   	(-7.857477e+00 2.039308e+00 -7.793099e+02)	(-7.861033e+00 1.990533e+00 -7.796726e+02)	(3.556121e-03 4.877462e-02 3.627342e-01)
0.000512978   	(-7.844655e+00 1.996843e+00 -7.782195e+02)	(-7.848219e+00 1.947190e+00 -7.785831e+02)	(3.564180e-03 4.965284e-02 3.636551e-01)
0.000584193   	(-7.796823e+00 1.930733e+00 -7.736681e+02)	(-7.800408e+00 1.880258e+00 -7.740340e+02)	(3.585267e-03 5.047443e-02 3.658856e-01)
0.000655204   	(-7.702587e+00 1.864487e+00 -7.644856e+02)	(-7.706219e+00 1.813240e+00 -7.648563e+02)	(3.632053e-03 5.124736e-02 3.706875e-01)
0.000723671   	(-7.580715e+00 1.803762e+00 -7.525540e+02)	(-7.584421e+00 1.751819e+00 -7.529322e+02)	(3.706017e-03 5.194305e-02 3.781979e-01)
0.000789591   	(-7.521556e+00 1.751381e+00 -7.467981e+02)	(-7.525362e+00 1.698781e+00 -7.471864e+02)	(3.806384e-03 5.259924e-02 3.883413e-01)
0.000853392   	(-7.420167e+00 1.696964e+00 -7.368736e+02)	(-7.424093e+00 1.643755e+00 -7.372739e+02)	(3.925579e-03 5.320897e-02 4.003588e-01)
0.000915282   	(-7.443669e+00 1.654028e+00 -7.392672e+02)	(-7.447727e+00 1.600251e+00 -7.396809e+02)	(4.058390e-03 5.377698e-02 4.137301e-01)
0.000975773   	(-7.443782e+00 1.606546e+00 -7.393661e+02)	(-7.447986e+00 1.552234e+00 -7.397945e+02)	(4.203960e-03 5.431195e-02 4.283686e-01)
0.00103489    	(-7.396914e+00 1.544691e+00 -7.348537e+02)	(-7.401275e+00 1.489872e+00 -7.352979e+02)	(4.361798e-03 5.481956e-02 4.442233e-01)
0.00109304    	(-7.326477e+00 1.470430e+00 -7.280355e+02)	(-7.331009e+00 1.415121e+00 -7.284969e+02)	(4.532276e-03 5.530897e-02 4.613313e-01)
0.00115031    	(-7.230347e+00 1.377108e+00 -7.187059e+02)	(-7.235063e+00 1.321321e+00 -7.191856e+02)	(4.715784e-03 5.578723e-02 4.797298e-01)
0.00120699    	(-7.133834e+00 1.266847e+00 -7.093688e+02)	(-7.138749e+00 1.210584e+00 -7.098685e+02)	(4.914887e-03 5.626321e-02 4.996728e-01)
0.00126309    	(-7.009536e+00 1.139561e+00 -6.973129e+02)	(-7.014673e+00 1.082815e+00 -6.978348e+02)	(5.136303e-03 5.674603e-02 5.218232e-01)
0.00131887    	(-6.878552e+00 9.964061e-01 -6.846161e+02)	(-6.883950e+00 9.391524e-01 -6.851640e+02)	(5.397391e-03 5.725376e-02 5.478984e-01)
0.00137437    	(-6.649535e+00 8.297957e-01 -6.622500e+02)	(-6.655252e+00 7.719848e-01 -6.628297e+02)	(5.716850e-03 5.781090e-02 5.797499e-01)
0.00142972    	(-6.235501e+00 6.735614e-01 -6.214860e+02)	(-6.241580e+00 6.151333e-01 -6.221018e+02)	(6.079004e-03 5.842810e-02 6.158317e-01)
0.001485      	(-5.794131e+00 5.343872e-01 -5.779194e+02)	(-5.800577e+00 4.752898e-01 -5.785718e+02)	(6.445656e-03 5.909743e-02 6.523679e-01)
0.00154029    	(-5.431037e+00 3.817348e-01 -5.421210e+02)	(-5.437818e+00 3.219401e-01 -5.428068e+02)	(6.780608e-03 5.979464e-02 6.857740e-01)
0.00159566    	(-5.045161e+00 1.694061e-01 -5.041913e+02)	(-5.052256e+00 1.088956e-01 -5.049085e+02)	(7.095244e-03 6.051049e-02 7.171740e-01)
0.00165116    	(-4.461442e+00 -1.659657e-01 -4.468683e+02)	(-4.468838e+00 -2.272026e-01 -4.476155e+02)	(7.395713e-03 6.123693e-02 7.471751e-01)
0.00170689    	(-3.499682e+00 -7.368967e-01 -3.524198e+02)	(-3.507353e+00 -7.988574e-01 -3.531945e+02)	(7.671583e-03 6.196077e-02 7.747427e-01)
0.00176286    	(-1.545036e+00 -1.799016e+00 -1.602599e+02)	(-1.552934e+00 -1.861686e+00 -1.610573e+02)	(7.898108e-03 6.266955e-02 7.974247e-01)
0.00181916    	(1.124332e+00 -3.130887e+00 1.025066e+02)	(1.116280e+00 -3.194220e+00 1.016938e+02)	(8.051138e-03 6.333308e-02 8.128263e-01)
0.00187588    	(7.679544e-01 -2.616486e+00 6.828096e+01)	(7.597729e-01 -2.680479e+00 6.745498e+01)	(8.181492e-03 6.399361e-02 8.259774e-01)
0.00193279    	(-2.025726e+00 -9.907628e-01 -2.059512e+02)	(-2.034053e+00 -1.055427e+00 -2.067918e+02)	(8.327163e-03 6.466437e-02 8.406341e-01)
0.00198941    	(-3.659561e+00 -1.148063e-01 -3.664798e+02)	(-3.668039e+00 -1.801160e-01 -3.673356e+02)	(8.477886e-03 6.530971e-02 8.557790e-01)
0.00204578    	(-4.255234e+00 5.833155e-02 -4.252460e+02)	(-4.263854e+00 -7.597754e-03 -4.261161e+02)	(8.620281e-03 6.592930e-02 8.700909e-01)
0.00210191    	(-4.419149e+00 1.726442e-01 -4.413277e+02)	(-4.427901e+00 1.061158e-01 -4.422110e+02)	(8.752554e-03 6.652835e-02 8.833943e-01)
0.00215804    	(-4.651938e+00 2.569912e-01 -4.642611e+02)	(-4.660815e+00 1.898821e-01 -4.651571e+02)	(8.877391e-03 6.710902e-02 8.959571e-01)
0.00221399    	(-4.777471e+00 3.204748e-01 -4.766228e+02)	(-4.786466e+00 2.528012e-01 -4.775306e+02)	(8.994952e-03 6.767358e-02 9.077956e-01)
0.00226993    	(-4.885011e+00 3.702262e-01 -4.872107e+02)	(-4.894117e+00 3.020060e-01 -4.881297e+02)	(9.105914e-03 6.822020e-02 9.189777e-01)
