# Force       
# CofR        : (5.000000e+00 5.000000e-03 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.20005e-05   	(3.777507e+04 8.422362e+04 -5.378317e-15)	(3.777424e+04 8.422365e+04 -5.378347e-15)	(8.237379e-01 -2.918826e-02 3.009068e-20)
2.64017e-05   	(1.115760e+03 1.693407e+03 3.192486e-16)	(1.114942e+03 1.693448e+03 3.192312e-16)	(8.175576e-01 -4.122637e-02 1.739019e-20)
4.36833e-05   	(2.215191e+02 2.919098e+02 -7.929114e-17)	(2.207001e+02 2.919561e+02 -7.930424e-17)	(8.189194e-01 -4.633245e-02 1.309581e-20)
6.44211e-05   	(7.448602e+01 1.561749e+02 1.186185e-17)	(7.366465e+01 1.562236e+02 1.185089e-17)	(8.213729e-01 -4.866982e-02 1.095866e-20)
8.93055e-05   	(3.178532e+01 1.162791e+02 2.661071e-17)	(3.096075e+01 1.163292e+02 2.660066e-17)	(8.245660e-01 -5.017453e-02 1.004802e-20)
0.000119165   	(2.675475e+01 1.079923e+02 3.061022e-17)	(2.592626e+01 1.080435e+02 3.060050e-17)	(8.284961e-01 -5.121741e-02 9.719952e-21)
0.00015499    	(3.240770e+01 1.075095e+02 3.360042e-17)	(3.157413e+01 1.075615e+02 3.359068e-17)	(8.335695e-01 -5.199482e-02 9.741464e-21)
0.000197972   	(3.787664e+01 1.108152e+02 4.617546e-17)	(3.703675e+01 1.108677e+02 4.616531e-17)	(8.398917e-01 -5.252678e-02 1.014888e-20)
0.000249549   	(4.245743e+01 1.230006e+02 7.350466e-17)	(4.160990e+01 1.230534e+02 7.349347e-17)	(8.475260e-01 -5.283406e-02 1.119078e-20)
0.000311429   	(4.590540e+01 1.461789e+02 1.265493e-16)	(4.504896e+01 1.462317e+02 1.265373e-16)	(8.564377e-01 -5.280982e-02 1.194869e-20)
0.000384035   	(4.759224e+01 1.734114e+02 1.978607e-16)	(4.672641e+01 1.734637e+02 1.978493e-16)	(8.658331e-01 -5.231831e-02 1.141801e-20)
0.000467256   	(4.725484e+01 1.759151e+02 2.288127e-16)	(4.637870e+01 1.759670e+02 2.288020e-16)	(8.761319e-01 -5.192223e-02 1.071544e-20)
0.00056089    	(4.635822e+01 1.732759e+02 2.431469e-16)	(4.547073e+01 1.733282e+02 2.431363e-16)	(8.874958e-01 -5.223963e-02 1.058677e-20)
0.000663511   	(4.471871e+01 1.751109e+02 2.678736e-16)	(4.381924e+01 1.751643e+02 2.678631e-16)	(8.994711e-01 -5.333900e-02 1.049896e-20)
0.00076529    	(4.250207e+01 1.752365e+02 2.875134e-16)	(4.159181e+01 1.752915e+02 2.875025e-16)	(9.102614e-01 -5.497584e-02 1.088002e-20)
0.000866447   	(4.027480e+01 1.721182e+02 2.941066e-16)	(3.935440e+01 1.721755e+02 2.940944e-16)	(9.204008e-01 -5.725259e-02 1.217120e-20)
0.000966988   	(3.794968e+01 1.702150e+02 2.797347e-16)	(3.702006e+01 1.702753e+02 2.797202e-16)	(9.296128e-01 -6.030143e-02 1.445027e-20)
0.00106446    	(3.514839e+01 1.689988e+02 2.339555e-16)	(3.421038e+01 1.690630e+02 2.339389e-16)	(9.380100e-01 -6.424255e-02 1.662501e-20)
0.00115887    	(3.119824e+01 1.654214e+02 1.767607e-16)	(3.025200e+01 1.654910e+02 1.767412e-16)	(9.462324e-01 -6.954346e-02 1.946809e-20)
0.00125038    	(2.625712e+01 1.588649e+02 1.288045e-16)	(2.530205e+01 1.589416e+02 1.287812e-16)	(9.550726e-01 -7.670951e-02 2.325752e-20)
0.00133983    	(2.148793e+01 1.472999e+02 1.064008e-16)	(2.052325e+01 1.473846e+02 1.063726e-16)	(9.646865e-01 -8.468251e-02 2.822237e-20)
0.0014273     	(1.705439e+01 1.350039e+02 1.151365e-16)	(1.607999e+01 1.350956e+02 1.151052e-16)	(9.743951e-01 -9.174070e-02 3.133409e-20)
0.00151339    	(1.107785e+01 1.243842e+02 1.579712e-16)	(1.009403e+01 1.244821e+02 1.579400e-16)	(9.838212e-01 -9.788807e-02 3.119840e-20)
0.00159822    	(1.195550e-02 1.058649e+02 2.605934e-16)	(-9.807943e-01 1.059682e+02 2.605583e-16)	(9.927498e-01 -1.033346e-01 3.510241e-20)
0.00168232    	(-2.605211e+01 6.088541e+01 4.015759e-16)	(-2.705277e+01 6.099291e+01 4.015338e-16)	(1.000665e+00 -1.074991e-01 4.210820e-20)
0.00176585    	(-7.415939e+01 -3.341336e+01 2.542343e-16)	(-7.516703e+01 -3.330385e+01 2.541922e-16)	(1.007638e+00 -1.095147e-01 4.204892e-20)
0.00184917    	(-5.929472e+01 -2.324114e+01 4.811148e-17)	(-6.031002e+01 -2.312994e+01 4.807832e-17)	(1.015301e+00 -1.112028e-01 3.315869e-20)
0.00193249    	(-1.072180e+01 6.638952e+01 1.011651e-16)	(-1.174582e+01 6.650331e+01 1.011357e-16)	(1.024026e+00 -1.137902e-01 2.940291e-20)
0.00201546    	(7.416641e+00 9.930361e+01 1.352376e-16)	(6.384260e+00 9.942006e+01 1.352100e-16)	(1.032381e+00 -1.164580e-01 2.762058e-20)
0.00209815    	(9.395505e+00 1.092492e+02 1.544601e-16)	(8.354980e+00 1.093682e+02 1.544338e-16)	(1.040525e+00 -1.189871e-01 2.629621e-20)
0.00218042    	(1.236002e+01 1.138205e+02 1.573290e-16)	(1.131159e+01 1.139420e+02 1.573040e-16)	(1.048433e+00 -1.214405e-01 2.493805e-20)
0.00226221    	(1.304589e+01 1.168689e+02 1.633797e-16)	(1.198994e+01 1.169927e+02 1.633563e-16)	(1.055950e+00 -1.238273e-01 2.339681e-20)
0.00234359    	(1.379040e+01 1.184185e+02 1.667008e-16)	(1.272719e+01 1.185447e+02 1.666793e-16)	(1.063213e+00 -1.261818e-01 2.147651e-20)
0.0024247     	(1.401817e+01 1.194334e+02 1.697596e-16)	(1.294789e+01 1.195619e+02 1.697406e-16)	(1.070275e+00 -1.285159e-01 1.897472e-20)
0.00250547    	(1.423321e+01 1.203637e+02 1.711879e-16)	(1.315608e+01 1.204946e+02 1.711720e-16)	(1.077130e+00 -1.308341e-01 1.583191e-20)
0.00258591    	(1.424040e+01 1.206678e+02 1.722144e-16)	(1.315648e+01 1.208010e+02 1.722024e-16)	(1.083917e+00 -1.331698e-01 1.204104e-20)
0.00266596    	(1.418764e+01 1.205869e+02 1.728197e-16)	(1.309705e+01 1.207224e+02 1.728119e-16)	(1.090595e+00 -1.355256e-01 7.792283e-21)
0.00274567    	(1.421349e+01 1.211040e+02 1.730516e-16)	(1.311638e+01 1.212419e+02 1.730483e-16)	(1.097106e+00 -1.378647e-01 3.323695e-21)
0.00282506    	(1.421484e+01 1.215044e+02 1.727646e-16)	(1.311134e+01 1.216446e+02 1.727656e-16)	(1.103494e+00 -1.401794e-01 -9.821988e-22)
0.00290439    	(1.414455e+01 1.217306e+02 1.722048e-16)	(1.303476e+01 1.218731e+02 1.722098e-16)	(1.109791e+00 -1.425037e-01 -4.958988e-21)
0.00298346    	(1.427661e+01 1.222212e+02 1.723884e-16)	(1.316070e+01 1.223660e+02 1.723969e-16)	(1.115908e+00 -1.448150e-01 -8.491828e-21)
0.00306266    	(1.438648e+01 1.228040e+02 1.722042e-16)	(1.326377e+01 1.229513e+02 1.722176e-16)	(1.122712e+00 -1.473216e-01 -1.335941e-20)
0.00314172    	(1.457235e+01 1.236689e+02 1.721625e-16)	(1.344422e+01 1.238185e+02 1.721776e-16)	(1.128128e+00 -1.495470e-01 -1.506778e-20)
0.00322086    	(1.469853e+01 1.244316e+02 1.723549e-16)	(1.356423e+01 1.245834e+02 1.723709e-16)	(1.134302e+00 -1.518643e-01 -1.599075e-20)
0.00330005    	(1.495379e+01 1.252993e+02 1.722912e-16)	(1.381442e+01 1.254534e+02 1.723077e-16)	(1.139371e+00 -1.540298e-01 -1.652886e-20)
0.00337925    	(1.532486e+01 1.266026e+02 1.736000e-16)	(1.418065e+01 1.267588e+02 1.736157e-16)	(1.144209e+00 -1.561383e-01 -1.573570e-20)
0.00345871    	(1.573762e+01 1.276328e+02 1.746845e-16)	(1.458878e+01 1.277910e+02 1.746981e-16)	(1.148833e+00 -1.581914e-01 -1.361950e-20)
0.00353856    	(1.589227e+01 1.284189e+02 1.750614e-16)	(1.473898e+01 1.285791e+02 1.750717e-16)	(1.153292e+00 -1.602016e-01 -1.024853e-20)
0.00361881    	(1.605427e+01 1.292536e+02 1.766343e-16)	(1.489664e+01 1.294157e+02 1.766398e-16)	(1.157624e+00 -1.621560e-01 -5.544851e-21)
0.00369953    	(1.638453e+01 1.301744e+02 1.781198e-16)	(1.522277e+01 1.303384e+02 1.781196e-16)	(1.161758e+00 -1.640191e-01 1.290491e-22)
0.00378066    	(1.670688e+01 1.314027e+02 1.801808e-16)	(1.554109e+01 1.315686e+02 1.801749e-16)	(1.165790e+00 -1.658473e-01 5.825804e-21)
0.0038622     	(1.706219e+01 1.325503e+02 1.829486e-16)	(1.589288e+01 1.327178e+02 1.829370e-16)	(1.169303e+00 -1.674984e-01 1.151312e-20)
0.00394416    	(1.725172e+01 1.334147e+02 1.859051e-16)	(1.607480e+01 1.335851e+02 1.858974e-16)	(1.176924e+00 -1.704572e-01 7.732062e-21)
0.00402661    	(1.749183e+01 1.344822e+02 1.900708e-16)	(1.631157e+01 1.346542e+02 1.900613e-16)	(1.180262e+00 -1.719932e-01 9.496875e-21)
0.00410956    	(1.776865e+01 1.353517e+02 1.949496e-16)	(1.658517e+01 1.355252e+02 1.949388e-16)	(1.183473e+00 -1.734463e-01 1.072501e-20)
0.00419302    	(1.802558e+01 1.363424e+02 2.010910e-16)	(1.683914e+01 1.365172e+02 2.010798e-16)	(1.186441e+00 -1.747666e-01 1.122545e-20)
0.00427706    	(1.814997e+01 1.370309e+02 2.074964e-16)	(1.696095e+01 1.372068e+02 2.074853e-16)	(1.189024e+00 -1.759279e-01 1.104346e-20)
0.00436162    	(1.824362e+01 1.374918e+02 2.139747e-16)	(1.705207e+01 1.376688e+02 2.139651e-16)	(1.191544e+00 -1.770065e-01 9.584888e-21)
0.00444626    	(1.837181e+01 1.380789e+02 2.204874e-16)	(1.718339e+01 1.382567e+02 2.204801e-16)	(1.188420e+00 -1.777408e-01 7.351852e-21)
0.00453097    	(1.832625e+01 1.383880e+02 2.263009e-16)	(1.714098e+01 1.385664e+02 2.262950e-16)	(1.185264e+00 -1.783917e-01 5.877855e-21)
0.00461575    	(1.837666e+01 1.387559e+02 2.309784e-16)	(1.719456e+01 1.389348e+02 2.309734e-16)	(1.182098e+00 -1.789751e-01 5.000384e-21)
0.00470062    	(1.833415e+01 1.388820e+02 2.333490e-16)	(1.715522e+01 1.390615e+02 2.333444e-16)	(1.178936e+00 -1.795003e-01 4.511703e-21)
0.00478548    	(1.828503e+01 1.390216e+02 2.342102e-16)	(1.710924e+01 1.392016e+02 2.342056e-16)	(1.175794e+00 -1.799920e-01 4.598895e-21)
0.00487041    	(1.807702e+01 1.390509e+02 2.329970e-16)	(1.690435e+01 1.392313e+02 2.329915e-16)	(1.172675e+00 -1.804521e-01 5.538807e-21)
0.00495543    	(1.812490e+01 1.392988e+02 2.318958e-16)	(1.695532e+01 1.394797e+02 2.318884e-16)	(1.169573e+00 -1.808721e-01 7.382598e-21)
0.00504052    	(1.813367e+01 1.397684e+02 2.309517e-16)	(1.696721e+01 1.399497e+02 2.309415e-16)	(1.166453e+00 -1.812230e-01 1.025541e-20)
0.00512568    	(1.806068e+01 1.399899e+02 2.297983e-16)	(1.689743e+01 1.401714e+02 2.297840e-16)	(1.163249e+00 -1.814817e-01 1.427004e-20)
0.00521092    	(1.812465e+01 1.406072e+02 2.302398e-16)	(1.696472e+01 1.407888e+02 2.302208e-16)	(1.159931e+00 -1.816270e-01 1.907510e-20)
